z,dz,dm,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0
0.0115,0.0230,4.6524,5.0658,5.0658,5.0658,5.0658,5.1884,5.5389,5.9545,6.2368,7.5220
0.0345,0.0230,1.6036,1.7522,1.7522,1.7522,1.7522,1.7956,1.9143,2.0587,2.1582,2.6120
0.0580,0.0240,1.0156,1.1139,1.1139,1.1139,1.1139,1.1421,1.2159,1.3081,1.3727,1.6672
0.0820,0.0240,0.7998,0.8806,0.8806,0.8806,0.8806,0.9035,0.9605,1.0337,1.0859,1.3238
0.1060,0.0240,0.6964,0.7698,0.7698,0.7698,0.7698,0.7904,0.8390,0.9034,0.9500,1.1626
0.1305,0.0250,0.6271,0.6962,0.6962,0.6962,0.6962,0.7152,0.7581,0.8166,0.8598,1.0564
0.1555,0.0250,0.5905,0.6585,0.6585,0.6585,0.6585,0.6770,0.7165,0.7721,0.8139,1.0042
0.1805,0.0250,0.5657,0.6337,0.6337,0.6337,0.6337,0.6520,0.6891,0.7429,0.7841,0.9716
0.2060,0.0260,0.5380,0.6056,0.6056,0.6056,0.6056,0.6235,0.6580,0.7097,0.7502,0.9336
0.2320,0.0260,0.5235,0.5923,0.5923,0.5923,0.5923,0.6103,0.6431,0.6940,0.7346,0.9183
0.2580,0.0260,0.5117,0.5820,0.5820,0.5820,0.5820,0.6001,0.6314,0.6817,0.7227,0.9076
0.2845,0.0270,0.4932,0.5640,0.5640,0.5640,0.5640,0.5820,0.6115,0.6605,0.7015,0.8851
0.3115,0.0270,0.4841,0.5568,0.5568,0.5568,0.5568,0.5751,0.6034,0.6521,0.6937,0.8796
0.3390,0.0280,0.4684,0.5419,0.5419,0.5419,0.5419,0.5602,0.5868,0.6346,0.6763,0.8619
0.3670,0.0280,0.4608,0.5365,0.5365,0.5365,0.5365,0.5552,0.5807,0.6283,0.6710,0.8594
0.3950,0.0280,0.4538,0.5318,0.5318,0.5318,0.5318,0.5508,0.5753,0.6228,0.6665,0.8581
0.4235,0.0290,0.4404,0.5195,0.5195,0.5195,0.5195,0.5386,0.5617,0.6085,0.6525,0.8446
0.4525,0.0290,0.4341,0.5157,0.5157,0.5157,0.5157,0.5352,0.5575,0.6042,0.6494,0.8451
0.4820,0.0300,0.4218,0.5048,0.5048,0.5048,0.5048,0.5244,0.5454,0.5915,0.6373,0.8340
0.5120,0.0300,0.4161,0.5017,0.5017,0.5017,0.5017,0.5218,0.5420,0.5881,0.6353,0.8361
0.5425,0.0310,0.4047,0.4919,0.4919,0.4919,0.4919,0.5121,0.5313,0.5769,0.6248,0.8269
0.5740,0.0320,0.3938,0.4827,0.4827,0.4827,0.4827,0.5031,0.5214,0.5664,0.6152,0.8190
0.6060,0.0320,0.3887,0.4806,0.4806,0.4806,0.4806,0.5015,0.5191,0.5643,0.6147,0.8233
0.6385,0.0330,0.3785,0.4723,0.4723,0.4723,0.4723,0.4934,0.5102,0.5551,0.6065,0.8172
0.6720,0.0340,0.3688,0.4646,0.4646,0.4646,0.4646,0.4860,0.5021,0.5465,0.5992,0.8122
0.7060,0.0340,0.3641,0.4633,0.4633,0.4633,0.4633,0.4852,0.5008,0.5455,0.6001,0.8185
