z,dz,dm,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0
0.0115,0.0230,2.5681,2.7963,2.7963,2.7963,2.7963,2.8640,3.0574,3.2869,3.4427,4.1521
0.0345,0.0230,0.9715,1.0616,1.0616,1.0616,1.0616,1.0879,1.1598,1.2472,1.3075,1.5824
0.0580,0.0240,0.7015,0.7694,0.7694,0.7694,0.7694,0.7889,0.8399,0.9036,0.9482,1.1516
0.0820,0.0240,0.6153,0.6775,0.6775,0.6775,0.6775,0.6951,0.7389,0.7953,0.8354,1.0185
0.1060,0.0240,0.5751,0.6358,0.6358,0.6358,0.6358,0.6527,0.6929,0.7460,0.7845,0.9601
0.1305,0.0250,0.5409,0.6005,0.6005,0.6005,0.6005,0.6170,0.6540,0.7044,0.7417,0.9113
0.1555,0.0250,0.5237,0.5840,0.5840,0.5840,0.5840,0.6004,0.6354,0.6848,0.7218,0.8906
0.1805,0.0250,0.5101,0.5714,0.5714,0.5714,0.5714,0.5879,0.6213,0.6698,0.7071,0.8760
0.2060,0.0260,0.4898,0.5514,0.5514,0.5514,0.5514,0.5677,0.5991,0.6462,0.6830,0.8500
0.2320,0.0260,0.4795,0.5425,0.5425,0.5425,0.5425,0.5589,0.5889,0.6355,0.6728,0.8410
0.2580,0.0260,0.4700,0.5346,0.5346,0.5346,0.5346,0.5512,0.5800,0.6262,0.6639,0.8337
0.2845,0.0270,0.4536,0.5187,0.5187,0.5187,0.5187,0.5353,0.5624,0.6075,0.6452,0.8141
0.3115,0.0270,0.4453,0.5122,0.5122,0.5122,0.5122,0.5290,0.5549,0.5998,0.6381,0.8090
0.3390,0.0280,0.4305,0.4981,0.4981,0.4981,0.4981,0.5149,0.5394,0.5833,0.6217,0.7922
0.3670,0.0280,0.4230,0.4925,0.4925,0.4925,0.4925,0.5096,0.5330,0.5767,0.6159,0.7888
0.3950,0.0280,0.4158,0.4873,0.4873,0.4873,0.4873,0.5047,0.5271,0.5706,0.6107,0.7862
0.4235,0.0290,0.4028,0.4752,0.4752,0.4752,0.4752,0.4926,0.5138,0.5565,0.5968,0.7725
0.4525,0.0290,0.3962,0.4707,0.4707,0.4707,0.4707,0.4884,0.5087,0.5514,0.5927,0.7713
0.4820,0.0300,0.3841,0.4597,0.4597,0.4597,0.4597,0.4775,0.4967,0.5387,0.5804,0.7595
0.5120,0.0300,0.3780,0.4558,0.4558,0.4558,0.4558,0.4740,0.4924,0.5343,0.5772,0.7596
0.5425,0.0310,0.3669,0.4459,0.4459,0.4459,0.4459,0.4642,0.4817,0.5229,0.5664,0.7496
0.5740,0.0320,0.3562,0.4366,0.4366,0.4366,0.4366,0.4550,0.4716,0.5123,0.5565,0.7408
0.6060,0.0320,0.3506,0.4335,0.4335,0.4335,0.4335,0.4524,0.4683,0.5091,0.5546,0.7427
0.6385,0.0330,0.3407,0.4251,0.4251,0.4251,0.4251,0.4441,0.4593,0.4996,0.5460,0.7355
0.6720,0.0340,0.3312,0.4172,0.4172,0.4172,0.4172,0.4364,0.4509,0.4908,0.5381,0.7294
0.7060,0.0340,0.3262,0.4150,0.4150,0.4150,0.4150,0.4346,0.4486,0.4886,0.5376,0.7332
0.7405,0.0350,0.3173,0.4079,0.4079,0.4079,0.4079,0.4278,0.4412,0.4809,0.5309,0.7286
0.7760,0.0360,0.3088,0.4013,0.4013,0.4013,0.4013,0.4214,0.4343,0.4738,0.5250,0.7250
0.8120,0.0360,0.3042,0.3998,0.3998,0.3998,0.3998,0.4204,0.4330,0.4726,0.5258,0.7307
0.8485,0.0370,0.2963,0.3939,0.3939,0.3939,0.3939,0.4148,0.4271,0.4665,0.5211,0.7287
