z,dz,dm,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0
0.0290,0.0580,0.4466,0.4875,0.4875,0.4875,0.4875,0.4996,0.5327,0.5729,0.6004,0.7261
0.0875,0.0590,0.3453,0.3805,0.3805,0.3805,0.3805,0.3905,0.4150,0.4467,0.4693,0.5727
0.1475,0.0610,0.3130,0.3485,0.3485,0.3485,0.3485,0.3582,0.3793,0.4087,0.4307,0.5307
0.2095,0.0630,0.2880,0.3244,0.3244,0.3244,0.3244,0.3340,0.3524,0.3802,0.4019,0.5005
0.2740,0.0660,0.2649,0.3022,0.3022,0.3022,0.3022,0.3118,0.3278,0.3540,0.3757,0.4731
0.3410,0.0680,0.2465,0.2854,0.2854,0.2854,0.2854,0.2950,0.3090,0.3342,0.3562,0.4541
0.4105,0.0710,0.2289,0.2692,0.2692,0.2692,0.2692,0.2789,0.2911,0.3152,0.3377,0.4361
0.4830,0.0740,0.2132,0.2552,0.2552,0.2552,0.2552,0.2651,0.2758,0.2990,0.3222,0.4217
0.5590,0.0780,0.1980,0.2417,0.2417,0.2417,0.2417,0.2517,0.2610,0.2835,0.3075,0.4082
0.6385,0.0810,0.1854,0.2314,0.2314,0.2314,0.2314,0.2417,0.2500,0.2719,0.2971,0.4003
0.7220,0.0860,0.1722,0.2201,0.2201,0.2201,0.2201,0.2307,0.2380,0.2594,0.2858,0.3909
0.8100,0.0900,0.1612,0.2117,0.2117,0.2117,0.2117,0.2226,0.2293,0.2503,0.2784,0.3867
0.9025,0.0950,0.1505,0.2036,0.2036,0.2036,0.2036,0.2149,0.2212,0.2418,0.2718,0.3835
1.0005,0.1010,0.1402,0.1960,0.1960,0.1960,0.1960,0.2077,0.2138,0.2341,0.2662,0.3814
1.1045,0.1070,0.1309,0.1899,0.1899,0.1899,0.1899,0.2020,0.2082,0.2284,0.2630,0.3826
1.2150,0.1140,0.1220,0.1843,0.1843,0.1843,0.1843,0.1970,0.2036,0.2237,0.2611,0.3855
1.3330,0.1220,0.1135,0.1795,0.1795,0.1795,0.1795,0.1926,0.2001,0.2201,0.2608,0.3903
1.4595,0.1310,0.1055,0.1754,0.1754,0.1754,0.1754,0.1892,0.1978,0.2178,0.2624,0.3976
1.5950,0.1400,0.0983,0.1728,0.1728,0.1728,0.1728,0.1873,0.1976,0.2178,0.2668,0.4090
1.7405,0.1510,0.0913,0.1706,0.1706,0.1706,0.1706,0.1859,0.1983,0.2186,0.2728,0.4221
1.8975,0.1630,0.0847,0.1694,0.1694,0.1694,0.1694,0.1856,0.2009,0.2214,0.2816,0.4390
2.0670,0.1760,0.0786,0.1695,0.1695,0.1695,0.1695,0.1866,0.2055,0.2264,0.2935,0.4601
2.2505,0.1910,0.0728,0.1703,0.1703,0.1703,0.1703,0.1885,0.2119,0.2332,0.3084,0.4849
2.4495,0.2070,0.0675,0.1726,0.1726,0.1726,0.1726,0.1921,0.2211,0.2429,0.3276,0.5155
2.6660,0.2260,0.0624,0.1758,0.1758,0.1758,0.1758,0.1966,0.2325,0.2548,0.3506,0.5506
2.9030,0.2480,0.0575,0.1802,0.1802,0.1802,0.1802,0.2025,0.2469,0.2697,0.3785,0.5918
3.1630,0.2720,0.0530,0.1864,0.1864,0.1864,0.1864,0.2105,0.2654,0.2888,0.4131,0.6415
3.4485,0.2990,0.0488,0.1944,0.1944,0.1944,0.1944,0.2204,0.2884,0.3124,0.4553,0.7005
3.7635,0.3310,0.0447,0.2040,0.2040,0.2040,0.2040,0.2323,0.3162,0.3407,0.5057,0.7690
4.1125,0.3670,0.0410,0.2160,0.2160,0.2160,0.2160,0.2469,0.3507,0.3757,0.5675,0.8511
4.5005,0.4090,0.0375,0.2306,0.2306,0.2306,0.2306,0.2644,0.3929,0.4183,0.6424,0.9482
4.9340,0.4580,0.0341,0.2482,0.2482,0.2482,0.2482,0.2854,0.4448,0.4702,0.7338,1.0639
5.4200,0.5140,0.0311,0.2696,0.2696,0.2696,0.2696,0.3109,0.5093,0.5343,0.8470,1.2038
5.9675,0.5810,0.0282,0.2953,0.2953,0.2953,0.2953,0.3411,0.5887,0.6127,0.9860,1.3713
6.5880,0.6600,0.0254,0.3263,0.3263,0.3263,0.3263,0.3776,0.6880,0.7100,1.1594,1.5751
7.2950,0.7540,0.0229,0.3639,0.3639,0.3639,0.3639,0.4216,0.8129,0.8315,1.3773,1.8249
8.1050,0.8660,0.0205,0.4098,0.4098,0.4098,0.4098,0.4752,0.9719,0.9847,1.6544,2.1340
9.0390,1.0020,0.0184,0.4660,0.4660,0.4660,0.4660,0.5406,1.1753,1.1790,2.0091,2.5189
10.1245,1.1690,0.0163,0.5351,0.5351,0.5351,0.5351,0.6209,1.4389,1.4285,2.4691,3.0033
11.3960,1.3740,0.0144,0.6214,0.6214,0.6214,0.6214,0.7211,1.7863,1.7539,3.0758,3.6231
12.8985,1.6310,0.0127,0.7299,0.7299,0.7299,0.7299,0.8466,2.2494,2.1831,3.8861,4.4240
14.6920,1.9560,0.0111,0.8682,0.8682,0.8682,0.8682,1.0065,2.8787,2.7598,4.9891,5.4771
16.8570,2.3740,0.0096,1.0471,1.0471,1.0471,1.0471,1.2128,3.7503,3.5487,6.5198,6.8857
19.5045,2.9210,0.0082,1.2822,1.2822,1.2822,1.2822,1.4836,4.9847,4.6515,8.6931,8.8080
