z,dz,dm,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0
0.0290,0.0580,0.6875,0.7506,0.7506,0.7506,0.7506,0.7691,0.8202,0.8820,0.9244,1.1178
0.0875,0.0590,0.3900,0.4298,0.4298,0.4298,0.4298,0.4410,0.4687,0.5044,0.5300,0.6467
0.1475,0.0610,0.3453,0.3845,0.3845,0.3845,0.3845,0.3953,0.4185,0.4510,0.4752,0.5855
0.2095,0.0630,0.3208,0.3613,0.3613,0.3613,0.3613,0.3721,0.3925,0.4234,0.4477,0.5574
0.2740,0.0660,0.2992,0.3414,0.3414,0.3414,0.3414,0.3522,0.3702,0.3998,0.4243,0.5344
0.3410,0.0680,0.2824,0.3269,0.3269,0.3269,0.3269,0.3380,0.3540,0.3828,0.4081,0.5202
0.4105,0.0710,0.2657,0.3125,0.3125,0.3125,0.3125,0.3238,0.3379,0.3659,0.3921,0.5062
0.4830,0.0740,0.2506,0.2999,0.2999,0.2999,0.2999,0.3116,0.3241,0.3514,0.3787,0.4957
0.5590,0.0780,0.2353,0.2873,0.2873,0.2873,0.2873,0.2993,0.3103,0.3370,0.3656,0.4853
0.6385,0.0810,0.2229,0.2781,0.2781,0.2781,0.2781,0.2905,0.3004,0.3268,0.3571,0.4811
0.7220,0.0860,0.2091,0.2672,0.2672,0.2672,0.2672,0.2801,0.2890,0.3149,0.3470,0.4746
0.8100,0.0900,0.1976,0.2595,0.2595,0.2595,0.2595,0.2729,0.2811,0.3068,0.3412,0.4740
0.9025,0.0950,0.1861,0.2518,0.2518,0.2518,0.2518,0.2658,0.2736,0.2991,0.3362,0.4743
1.0005,0.1010,0.1749,0.2446,0.2446,0.2446,0.2446,0.2591,0.2667,0.2921,0.3321,0.4759
1.1045,0.1070,0.1646,0.2389,0.2389,0.2389,0.2389,0.2541,0.2620,0.2874,0.3309,0.4813
1.2150,0.1140,0.1547,0.2337,0.2337,0.2337,0.2337,0.2497,0.2582,0.2836,0.3311,0.4888
1.3330,0.1220,0.1450,0.2293,0.2293,0.2293,0.2293,0.2461,0.2556,0.2812,0.3333,0.4987
1.4595,0.1310,0.1358,0.2258,0.2258,0.2258,0.2258,0.2435,0.2546,0.2804,0.3377,0.5118
1.5950,0.1400,0.1274,0.2240,0.2240,0.2240,0.2240,0.2428,0.2562,0.2823,0.3459,0.5302
1.7405,0.1510,0.1191,0.2227,0.2227,0.2227,0.2227,0.2426,0.2589,0.2854,0.3561,0.5510
1.8975,0.1630,0.1113,0.2226,0.2226,0.2226,0.2226,0.2438,0.2640,0.2910,0.3700,0.5768
2.0670,0.1760,0.1040,0.2241,0.2241,0.2241,0.2241,0.2467,0.2718,0.2994,0.3881,0.6084
2.2505,0.1910,0.0969,0.2267,0.2267,0.2267,0.2267,0.2509,0.2821,0.3104,0.4104,0.6453
2.4495,0.2070,0.0904,0.2311,0.2311,0.2311,0.2311,0.2572,0.2961,0.3252,0.4387,0.6902
2.6660,0.2260,0.0840,0.2368,0.2368,0.2368,0.2368,0.2648,0.3132,0.3432,0.4722,0.7416
2.9030,0.2480,0.0779,0.2441,0.2441,0.2441,0.2441,0.2743,0.3344,0.3653,0.5126,0.8016
3.1630,0.2720,0.0722,0.2539,0.2539,0.2539,0.2539,0.2867,0.3615,0.3934,0.5627,0.8738
3.4485,0.2990,0.0668,0.2662,0.2662,0.2662,0.2662,0.3019,0.3950,0.4278,0.6236,0.9594
3.7635,0.3310,0.0616,0.2808,0.2808,0.2808,0.2808,0.3198,0.4353,0.4691,0.6963,1.0588
4.1125,0.3670,0.0567,0.2990,0.2990,0.2990,0.2990,0.3417,0.4854,0.5200,0.7854,1.1779
4.5005,0.4090,0.0521,0.3207,0.3207,0.3207,0.3207,0.3678,0.5465,0.5818,0.8935,1.3189
4.9340,0.4580,0.0477,0.3469,0.3469,0.3469,0.3469,0.3989,0.6217,0.6572,1.0258,1.4871
5.4200,0.5140,0.0436,0.3788,0.3788,0.3788,0.3788,0.4367,0.7153,0.7505,1.1898,1.6909
5.9675,0.5810,0.0397,0.4167,0.4167,0.4167,0.4167,0.4814,0.8308,0.8647,1.3915,1.9352
6.5880,0.6600,0.0361,0.4626,0.4626,0.4626,0.4626,0.5353,0.9754,1.0066,1.6437,2.2332
7.2950,0.7540,0.0326,0.5183,0.5183,0.5183,0.5183,0.6004,1.1578,1.1841,1.9615,2.5989
8.1050,0.8660,0.0294,0.5863,0.5863,0.5863,0.5863,0.6798,1.3902,1.4085,2.3665,3.0527
9.0390,1.0020,0.0264,0.6695,0.6695,0.6695,0.6695,0.7767,1.6885,1.6939,2.8864,3.6188
10.1245,1.1690,0.0235,0.7720,0.7720,0.7720,0.7720,0.8959,2.0760,2.0609,3.5623,4.3330
11.3960,1.3740,0.0209,0.9003,0.9003,0.9003,0.9003,1.0446,2.5878,2.5409,4.4561,5.2489
12.8985,1.6310,0.0184,1.0618,1.0618,1.0618,1.0618,1.2315,3.2721,3.1757,5.6528,6.4352
14.6920,1.9560,0.0162,1.2680,1.2680,1.2680,1.2680,1.4699,4.2042,4.0305,7.2863,7.9990
16.8570,2.3740,0.0140,1.5352,1.5352,1.5352,1.5352,1.7781,5.4985,5.2030,9.5591,10.0955
19.5045,2.9210,0.0121,1.8871,1.8871,1.8871,1.8871,2.1835,7.3364,6.8461,12.7944,12.9635
