z,dz,dm,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0
0.0290,0.0580,0.6743,0.7362,0.7362,0.7362,0.7362,0.7543,0.8044,0.8650,0.9067,1.0963
0.0875,0.0590,0.3876,0.4272,0.4272,0.4272,0.4272,0.4383,0.4658,0.5014,0.5268,0.6428
0.1475,0.0610,0.3441,0.3832,0.3832,0.3832,0.3832,0.3939,0.4171,0.4494,0.4735,0.5834
0.2095,0.0630,0.3197,0.3601,0.3601,0.3601,0.3601,0.3708,0.3913,0.4220,0.4462,0.5556
0.2740,0.0660,0.2981,0.3402,0.3402,0.3402,0.3402,0.3509,0.3689,0.3984,0.4228,0.5325
0.3410,0.0680,0.2813,0.3257,0.3257,0.3257,0.3257,0.3367,0.3527,0.3814,0.4065,0.5182
0.4105,0.0710,0.2646,0.3111,0.3111,0.3111,0.3111,0.3224,0.3365,0.3644,0.3904,0.5041
0.4830,0.0740,0.2494,0.2986,0.2986,0.2986,0.2986,0.3101,0.3226,0.3498,0.3770,0.4934
0.5590,0.0780,0.2342,0.2859,0.2859,0.2859,0.2859,0.2978,0.3088,0.3354,0.3638,0.4830
0.6385,0.0810,0.2217,0.2766,0.2766,0.2766,0.2766,0.2890,0.2988,0.3251,0.3552,0.4786
0.7220,0.0860,0.2079,0.2658,0.2658,0.2658,0.2658,0.2785,0.2874,0.3131,0.3450,0.4720
0.8100,0.0900,0.1964,0.2580,0.2580,0.2580,0.2580,0.2713,0.2794,0.3050,0.3392,0.4713
0.9025,0.0950,0.1850,0.2503,0.2503,0.2503,0.2503,0.2642,0.2719,0.2973,0.3341,0.4714
1.0005,0.1010,0.1738,0.2430,0.2430,0.2430,0.2430,0.2575,0.2651,0.2903,0.3300,0.4729
1.1045,0.1070,0.1636,0.2373,0.2373,0.2373,0.2373,0.2525,0.2602,0.2855,0.3287,0.4782
1.2150,0.1140,0.1536,0.2321,0.2321,0.2321,0.2321,0.2480,0.2564,0.2817,0.3289,0.4855
1.3330,0.1220,0.1440,0.2277,0.2277,0.2277,0.2277,0.2444,0.2538,0.2792,0.3309,0.4952
1.4595,0.1310,0.1348,0.2241,0.2241,0.2241,0.2241,0.2418,0.2528,0.2783,0.3352,0.5081
1.5950,0.1400,0.1265,0.2224,0.2224,0.2224,0.2224,0.2410,0.2543,0.2802,0.3433,0.5262
1.7405,0.1510,0.1182,0.2210,0.2210,0.2210,0.2210,0.2407,0.2569,0.2832,0.3533,0.5467
1.8975,0.1630,0.1104,0.2209,0.2209,0.2209,0.2209,0.2419,0.2619,0.2887,0.3670,0.5723
2.0670,0.1760,0.1032,0.2223,0.2223,0.2223,0.2223,0.2447,0.2696,0.2970,0.3850,0.6035
2.2505,0.1910,0.0961,0.2248,0.2248,0.2248,0.2248,0.2488,0.2797,0.3078,0.4070,0.6400
2.4495,0.2070,0.0896,0.2292,0.2292,0.2292,0.2292,0.2550,0.2936,0.3225,0.4350,0.6844
2.6660,0.2260,0.0833,0.2347,0.2347,0.2347,0.2347,0.2625,0.3105,0.3402,0.4681,0.7352
2.9030,0.2480,0.0772,0.2419,0.2419,0.2419,0.2419,0.2719,0.3315,0.3621,0.5081,0.7945
3.1630,0.2720,0.0715,0.2516,0.2516,0.2516,0.2516,0.2841,0.3583,0.3898,0.5577,0.8660
3.4485,0.2990,0.0662,0.2638,0.2638,0.2638,0.2638,0.2991,0.3913,0.4239,0.6179,0.9506
3.7635,0.3310,0.0610,0.2782,0.2782,0.2782,0.2782,0.3168,0.4313,0.4648,0.6898,1.0490
4.1125,0.3670,0.0562,0.2962,0.2962,0.2962,0.2962,0.3385,0.4808,0.5151,0.7780,1.1668
4.5005,0.4090,0.0516,0.3176,0.3176,0.3176,0.3176,0.3643,0.5413,0.5762,0.8849,1.3062
4.9340,0.4580,0.0473,0.3435,0.3435,0.3435,0.3435,0.3951,0.6156,0.6508,1.0158,1.4726
5.4200,0.5140,0.0432,0.3750,0.3750,0.3750,0.3750,0.4323,0.7082,0.7431,1.1780,1.6741
5.9675,0.5810,0.0393,0.4125,0.4125,0.4125,0.4125,0.4765,0.8224,0.8560,1.3775,1.9158
6.5880,0.6600,0.0357,0.4579,0.4579,0.4579,0.4579,0.5298,0.9654,0.9963,1.6269,2.2104
7.2950,0.7540,0.0323,0.5129,0.5129,0.5129,0.5129,0.5942,1.1458,1.1719,1.9412,2.5720
8.1050,0.8660,0.0291,0.5801,0.5801,0.5801,0.5801,0.6727,1.3757,1.3938,2.3417,3.0206
9.0390,1.0020,0.0261,0.6623,0.6623,0.6623,0.6623,0.7684,1.6706,1.6759,2.8558,3.5803
10.1245,1.1690,0.0233,0.7637,0.7637,0.7637,0.7637,0.8862,2.0537,2.0387,3.5239,4.2864
11.3960,1.3740,0.0207,0.8905,0.8905,0.8905,0.8905,1.0332,2.5596,2.5132,4.4075,5.1917
12.8985,1.6310,0.0182,1.0501,1.0501,1.0501,1.0501,1.2180,3.2360,3.1407,5.5905,6.3643
14.6920,1.9560,0.0160,1.2539,1.2539,1.2539,1.2539,1.4535,4.1574,3.9856,7.2051,7.9099
16.8570,2.3740,0.0139,1.5179,1.5179,1.5179,1.5179,1.7581,5.4365,5.1444,9.4514,9.9818
19.5045,2.9210,0.0120,1.8656,1.8656,1.8656,1.8656,2.1587,7.2529,6.7682,12.6487,12.8159
