z,dz,dm,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0
0.0290,0.0580,2.7392,2.9906,2.9906,2.9906,2.9906,3.0642,3.2678,3.5140,3.6831,4.4537
0.0875,0.0590,0.9406,1.0366,1.0366,1.0366,1.0366,1.0637,1.1304,1.2167,1.2784,1.5599
0.1475,0.0610,0.6022,0.6706,0.6706,0.6706,0.6706,0.6892,0.7298,0.7864,0.8286,1.0210
0.2095,0.0630,0.4717,0.5313,0.5313,0.5313,0.5313,0.5471,0.5772,0.6226,0.6583,0.8197
0.2740,0.0660,0.4027,0.4595,0.4595,0.4595,0.4595,0.4741,0.4984,0.5382,0.5712,0.7194
0.3410,0.0680,0.3638,0.4211,0.4211,0.4211,0.4211,0.4354,0.4560,0.4931,0.5256,0.6701
0.4105,0.0710,0.3351,0.3941,0.3941,0.3941,0.3941,0.4084,0.4263,0.4616,0.4945,0.6386
0.4830,0.0740,0.3135,0.3753,0.3753,0.3753,0.3753,0.3899,0.4055,0.4398,0.4739,0.6202
0.5590,0.0780,0.2942,0.3592,0.3592,0.3592,0.3592,0.3742,0.3880,0.4214,0.4571,0.6068
0.6385,0.0810,0.2796,0.3489,0.3489,0.3489,0.3489,0.3645,0.3769,0.4100,0.4481,0.6036
0.7220,0.0860,0.2638,0.3373,0.3373,0.3373,0.3373,0.3535,0.3647,0.3974,0.4379,0.5989
0.8100,0.0900,0.2512,0.3299,0.3299,0.3299,0.3299,0.3469,0.3573,0.3900,0.4338,0.6027
0.9025,0.0950,0.2386,0.3228,0.3228,0.3228,0.3228,0.3407,0.3507,0.3834,0.4309,0.6079
1.0005,0.1010,0.2261,0.3162,0.3162,0.3162,0.3162,0.3350,0.3449,0.3777,0.4294,0.6153
1.1045,0.1070,0.2147,0.3116,0.3116,0.3116,0.3116,0.3315,0.3417,0.3748,0.4316,0.6278
1.2150,0.1140,0.2035,0.3076,0.3076,0.3076,0.3076,0.3286,0.3398,0.3732,0.4358,0.6432
1.3330,0.1220,0.1925,0.3044,0.3044,0.3044,0.3044,0.3268,0.3394,0.3733,0.4425,0.6622
1.4595,0.1310,0.1819,0.3024,0.3024,0.3024,0.3024,0.3262,0.3410,0.3755,0.4523,0.6855
1.5950,0.1400,0.1722,0.3027,0.3027,0.3027,0.3027,0.3281,0.3461,0.3814,0.4674,0.7164
1.7405,0.1510,0.1623,0.3034,0.3034,0.3034,0.3034,0.3306,0.3528,0.3889,0.4852,0.7508
1.8975,0.1630,0.1530,0.3060,0.3060,0.3060,0.3060,0.3351,0.3627,0.3999,0.5084,0.7927
2.0670,0.1760,0.1441,0.3105,0.3105,0.3105,0.3105,0.3419,0.3766,0.4149,0.5378,0.8431
2.2505,0.1910,0.1354,0.3166,0.3166,0.3166,0.3166,0.3505,0.3940,0.4336,0.5733,0.9014
2.4495,0.2070,0.1273,0.3255,0.3255,0.3255,0.3255,0.3621,0.4169,0.4579,0.6177,0.9719
2.6660,0.2260,0.1192,0.3360,0.3360,0.3360,0.3360,0.3757,0.4444,0.4870,0.6700,1.0523
2.9030,0.2480,0.1113,0.3490,0.3490,0.3490,0.3490,0.3922,0.4782,0.5223,0.7329,1.1460
3.1630,0.2720,0.1040,0.3657,0.3657,0.3657,0.3657,0.4129,0.5207,0.5666,0.8106,1.2587
3.4485,0.2990,0.0969,0.3863,0.3863,0.3863,0.3863,0.4381,0.5731,0.6208,0.9048,1.3921
3.7635,0.3310,0.0900,0.4104,0.4104,0.4104,0.4104,0.4674,0.6362,0.6856,1.0175,1.5474
4.1125,0.3670,0.0835,0.4400,0.4400,0.4400,0.4400,0.5029,0.7143,0.7653,1.1559,1.7335
4.5005,0.4090,0.0772,0.4753,0.4753,0.4753,0.4753,0.5450,0.8099,0.8621,1.3241,1.9544
4.9340,0.4580,0.0712,0.5175,0.5175,0.5175,0.5175,0.5952,0.9275,0.9805,1.5304,2.2186
5.4200,0.5140,0.0655,0.5688,0.5688,0.5688,0.5688,0.6558,1.0743,1.1272,1.7869,2.5395
5.9675,0.5810,0.0601,0.6299,0.6299,0.6299,0.6299,0.7277,1.2559,1.3071,2.1035,2.9254
6.5880,0.6600,0.0549,0.7038,0.7038,0.7038,0.7038,0.8144,1.4839,1.5314,2.5007,3.3975
7.2950,0.7540,0.0499,0.7935,0.7935,0.7935,0.7935,0.9193,1.7725,1.8129,3.0031,3.9789
8.1050,0.8660,0.0453,0.9032,0.9032,0.9032,0.9032,1.0473,2.1417,2.1699,3.6458,4.7028
9.0390,1.0020,0.0409,1.0376,1.0376,1.0376,1.0376,1.2038,2.6172,2.6255,4.4739,5.6091
10.1245,1.1690,0.0367,1.2038,1.2038,1.2038,1.2038,1.3969,3.2371,3.2136,5.5547,6.7565
11.3960,1.3740,0.0328,1.4122,1.4122,1.4122,1.4122,1.6386,4.0592,3.9856,6.9896,8.2332
12.8985,1.6310,0.0291,1.6752,1.6752,1.6752,1.6752,1.9430,5.1624,5.0103,8.9186,10.1530
14.6920,1.9560,0.0256,2.0121,2.0121,2.0121,2.0121,2.3324,6.6713,6.3957,11.5619,12.6930
16.8570,2.3740,0.0224,2.4498,2.4498,2.4498,2.4498,2.8375,8.7745,8.3030,15.2544,16.1105
19.5045,2.9210,0.0194,3.0283,3.0283,3.0283,3.0283,3.5040,11.7730,10.9862,20.5315,20.8030
