z,dz,dm,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0
0.0175,0.0350,0.4808,0.5240,0.5240,0.5240,0.5240,0.5367,0.5728,0.6158,0.6452,0.7788
0.0525,0.0350,0.4127,0.4523,0.4523,0.4523,0.4523,0.4637,0.4938,0.5312,0.5573,0.6763
0.0880,0.0360,0.3696,0.4073,0.4073,0.4073,0.4073,0.4180,0.4442,0.4781,0.5024,0.6130
0.1240,0.0360,0.3400,0.3770,0.3770,0.3770,0.3770,0.3872,0.4106,0.4423,0.4655,0.5713
0.1605,0.0370,0.3118,0.3480,0.3480,0.3480,0.3480,0.3579,0.3786,0.4081,0.4303,0.5313
0.1980,0.0380,0.2877,0.3234,0.3234,0.3234,0.3234,0.3329,0.3515,0.3790,0.4005,0.4977
0.2365,0.0390,0.2668,0.3022,0.3022,0.3022,0.3022,0.3114,0.3280,0.3540,0.3748,0.4689
0.2760,0.0400,0.2484,0.2836,0.2836,0.2836,0.2836,0.2926,0.3075,0.3321,0.3525,0.4441
0.3165,0.0410,0.2320,0.2671,0.2671,0.2671,0.2671,0.2760,0.2894,0.3128,0.3329,0.4225
0.3580,0.0420,0.2173,0.2525,0.2525,0.2525,0.2525,0.2612,0.2734,0.2957,0.3156,0.4036
0.4005,0.0430,0.2041,0.2395,0.2395,0.2395,0.2395,0.2481,0.2590,0.2805,0.3003,0.3870
0.4440,0.0440,0.1921,0.2278,0.2278,0.2278,0.2278,0.2363,0.2462,0.2668,0.2866,0.3724
0.4885,0.0450,0.1812,0.2172,0.2172,0.2172,0.2172,0.2257,0.2347,0.2546,0.2745,0.3596
0.5340,0.0460,0.1713,0.2077,0.2077,0.2077,0.2077,0.2162,0.2244,0.2436,0.2636,0.3484
0.5805,0.0470,0.1622,0.1991,0.1991,0.1991,0.1991,0.2076,0.2151,0.2337,0.2540,0.3385
0.6285,0.0490,0.1525,0.1897,0.1897,0.1897,0.1897,0.1981,0.2049,0.2229,0.2433,0.3272
0.6780,0.0500,0.1447,0.1826,0.1826,0.1826,0.1826,0.1911,0.1974,0.2149,0.2357,0.3199
0.7290,0.0520,0.1365,0.1748,0.1748,0.1748,0.1748,0.1833,0.1891,0.2060,0.2272,0.3112
0.7815,0.0530,0.1299,0.1691,0.1691,0.1691,0.1691,0.1776,0.1830,0.1996,0.2214,0.3060
0.8355,0.0550,0.1228,0.1626,0.1626,0.1626,0.1626,0.1712,0.1763,0.1925,0.2147,0.2995
0.8915,0.0570,0.1163,0.1568,0.1568,0.1568,0.1568,0.1654,0.1702,0.1861,0.2089,0.2942
0.9495,0.0590,0.1102,0.1515,0.1515,0.1515,0.1515,0.1602,0.1649,0.1804,0.2039,0.2898
1.0095,0.0610,0.1046,0.1468,0.1468,0.1468,0.1468,0.1556,0.1601,0.1754,0.1996,0.2865
1.0715,0.0630,0.0994,0.1425,0.1425,0.1425,0.1425,0.1514,0.1560,0.1710,0.1961,0.2840
1.1360,0.0660,0.0939,0.1379,0.1379,0.1379,0.1379,0.1469,0.1515,0.1663,0.1922,0.2808
1.2030,0.0680,0.0894,0.1345,0.1345,0.1345,0.1345,0.1437,0.1485,0.1631,0.1901,0.2802
1.2725,0.0710,0.0847,0.1309,0.1309,0.1309,0.1309,0.1401,0.1452,0.1596,0.1877,0.2790
1.3450,0.0740,0.0803,0.1276,0.1276,0.1276,0.1276,0.1371,0.1425,0.1567,0.1860,0.2787
1.4205,0.0770,0.0763,0.1249,0.1249,0.1249,0.1249,0.1345,0.1403,0.1544,0.1851,0.2795
1.4990,0.0800,0.0725,0.1225,0.1225,0.1225,0.1225,0.1323,0.1387,0.1527,0.1849,0.2812
1.5810,0.0840,0.0686,0.1199,0.1199,0.1199,0.1199,0.1299,0.1369,0.1509,0.1846,0.2826
1.6665,0.0870,0.0653,0.1183,0.1183,0.1183,0.1183,0.1286,0.1364,0.1503,0.1859,0.2863
1.7555,0.0910,0.0620,0.1166,0.1166,0.1166,0.1166,0.1271,0.1358,0.1497,0.1871,0.2898
1.8490,0.0960,0.0586,0.1148,0.1148,0.1148,0.1148,0.1255,0.1353,0.1491,0.1885,0.2933
1.9470,0.1000,0.0557,0.1139,0.1139,0.1139,0.1139,0.1249,0.1359,0.1498,0.1916,0.2992
2.0495,0.1050,0.0528,0.1129,0.1129,0.1129,0.1129,0.1243,0.1366,0.1505,0.1948,0.3052
2.1570,0.1100,0.0501,0.1124,0.1124,0.1124,0.1124,0.1241,0.1380,0.1520,0.1990,0.3125
2.2700,0.1160,0.0474,0.1119,0.1119,0.1119,0.1119,0.1239,0.1396,0.1537,0.2036,0.3202
2.3890,0.1220,0.0450,0.1119,0.1119,0.1119,0.1119,0.1243,0.1420,0.1561,0.2093,0.3294
2.5140,0.1280,0.0427,0.1123,0.1123,0.1123,0.1123,0.1251,0.1452,0.1594,0.2163,0.3402
2.6455,0.1350,0.0404,0.1128,0.1128,0.1128,0.1128,0.1261,0.1487,0.1630,0.2239,0.3517
2.7840,0.1420,0.0383,0.1138,0.1138,0.1138,0.1138,0.1276,0.1531,0.1676,0.2329,0.3650
2.9300,0.1500,0.0362,0.1149,0.1149,0.1149,0.1149,0.1292,0.1581,0.1727,0.2428,0.3794
3.0845,0.1590,0.0342,0.1164,0.1164,0.1164,0.1164,0.1312,0.1638,0.1784,0.2539,0.3951
3.2480,0.1680,0.0324,0.1183,0.1183,0.1183,0.1183,0.1338,0.1706,0.1854,0.2668,0.4132
3.4210,0.1780,0.0306,0.1206,0.1206,0.1206,0.1206,0.1368,0.1783,0.1932,0.2812,0.4330
3.6045,0.1890,0.0289,0.1233,0.1233,0.1233,0.1233,0.1401,0.1870,0.2021,0.2972,0.4547
3.7995,0.2010,0.0273,0.1264,0.1264,0.1264,0.1264,0.1440,0.1969,0.2121,0.3153,0.4789
4.0070,0.2140,0.0258,0.1300,0.1300,0.1300,0.1300,0.1484,0.2082,0.2234,0.3357,0.5057
4.2280,0.2280,0.0243,0.1341,0.1341,0.1341,0.1341,0.1535,0.2210,0.2363,0.3588,0.5355
4.4635,0.2430,0.0229,0.1389,0.1389,0.1389,0.1389,0.1592,0.2356,0.2510,0.3849,0.5689
4.7150,0.2600,0.0216,0.1441,0.1441,0.1441,0.1441,0.1655,0.2519,0.2673,0.4139,0.6055
4.9840,0.2780,0.0203,0.1502,0.1502,0.1502,0.1502,0.1728,0.2707,0.2859,0.4470,0.6467
5.2725,0.2990,0.0190,0.1568,0.1568,0.1568,0.1568,0.1806,0.2915,0.3065,0.4838,0.6917
5.5825,0.3210,0.0179,0.1644,0.1644,0.1644,0.1644,0.1896,0.3156,0.3303,0.5261,0.7429
5.9155,0.3450,0.0168,0.1729,0.1729,0.1729,0.1729,0.1998,0.3431,0.3574,0.5743,0.8004
6.2740,0.3720,0.0157,0.1825,0.1825,0.1825,0.1825,0.2110,0.3743,0.3879,0.6289,0.8644
6.6610,0.4020,0.0147,0.1932,0.1932,0.1932,0.1932,0.2235,0.4098,0.4225,0.6911,0.9364
7.0795,0.4350,0.0138,0.2052,0.2052,0.2052,0.2052,0.2377,0.4507,0.4622,0.7625,1.0178
7.5330,0.4720,0.0129,0.2187,0.2187,0.2187,0.2187,0.2535,0.4976,0.5075,0.8444,1.1097
8.0260,0.5140,0.0120,0.2339,0.2339,0.2339,0.2339,0.2712,0.5515,0.5592,0.9384,1.2135
8.5630,0.5600,0.0112,0.2511,0.2511,0.2511,0.2511,0.2913,0.6143,0.6193,1.0480,1.3327
9.1490,0.6120,0.0104,0.2706,0.2706,0.2706,0.2706,0.3139,0.6872,0.6886,1.1751,1.4686
9.7905,0.6710,0.0096,0.2926,0.2926,0.2926,0.2926,0.3395,0.7721,0.7688,1.3234,1.6243
10.4945,0.7370,0.0089,0.3178,0.3178,0.3178,0.3178,0.3688,0.8720,0.8628,1.4979,1.8044
11.2695,0.8130,0.0082,0.3464,0.3464,0.3464,0.3464,0.4019,0.9893,0.9724,1.7030,2.0121
12.1260,0.9000,0.0076,0.3791,0.3791,0.3791,0.3791,0.4398,1.1284,1.1015,1.9462,2.2538
13.0755,0.9990,0.0070,0.4169,0.4169,0.4169,0.4169,0.4835,1.2945,1.2548,2.2372,2.5373
14.1315,1.1130,0.0064,0.4605,0.4605,0.4605,0.4605,0.5340,1.4939,1.4375,2.5867,2.8709
15.3110,1.2460,0.0059,0.5111,0.5111,0.5111,0.5111,0.5924,1.7344,1.6563,3.0088,3.2650
16.6345,1.4010,0.0054,0.5702,0.5702,0.5702,0.5702,0.6606,2.0273,1.9207,3.5234,3.7351
18.1260,1.5820,0.0049,0.6398,0.6398,0.6398,0.6398,0.7407,2.3871,2.2432,4.1565,4.3003
19.8155,1.7970,0.0045,0.7220,0.7220,0.7220,0.7220,0.8353,2.8319,2.6387,4.9404,4.9832
21.7400,2.0520,0.0040,0.8200,0.8200,0.8200,0.8200,0.9480,3.3886,3.1294,5.9230,5.8178
23.9445,2.3570,0.0036,0.9379,0.9379,0.9379,0.9379,1.0835,4.0923,3.7443,7.1671,6.8470
