z,dz,dm,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0
0.02,0.04,2.1782,1.9073,2.0487,2.19,2.3748,2.4327,2.5958,2.7909,2.9242,3.5312
0.055,0.03,0.9665,0.8527,0.9153,0.9779,1.0595,1.0863,1.1566,1.2443,1.3055,1.5849
0.09,0.04,0.6059,0.5388,0.578,0.6171,0.668,0.6855,0.7284,0.7841,0.8239,1.0058
0.13,0.04,0.5066,0.4548,0.4875,0.5201,0.5623,0.5777,0.6124,0.6596,0.6945,0.8532
0.17,0.04,0.4631,0.4198,0.4497,0.4794,0.5178,0.5325,0.5631,0.607,0.6403,0.792
0.205,0.03,0.5028,0.4599,0.4923,0.5246,0.5659,0.5826,0.6148,0.6632,0.7009,0.8721
0.24,0.04,0.4266,0.3939,0.4214,0.4487,0.4834,0.4982,0.5247,0.5663,0.5998,0.7509
0.285,0.05,0.3718,0.3476,0.3715,0.3953,0.4253,0.4389,0.4611,0.498,0.5289,0.6675
0.33,0.04,0.4014,0.3801,0.406,0.4317,0.4635,0.4791,0.5021,0.5428,0.5782,0.7356
0.37,0.04,0.393,0.3765,0.4019,0.4271,0.4578,0.4738,0.4955,0.5361,0.5727,0.7339
0.41,0.04,0.3853,0.3738,0.3988,0.4235,0.4532,0.4696,0.4901,0.5307,0.5686,0.7341
0.455,0.05,0.3407,0.3352,0.3574,0.3793,0.405,0.4203,0.4378,0.4745,0.5101,0.6642
0.505,0.05,0.3336,0.3336,0.3555,0.377,0.4016,0.4175,0.4339,0.4707,0.5082,0.6678
0.55,0.04,0.3628,0.3684,0.3922,0.4158,0.4418,0.4601,0.4772,0.5182,0.5617,0.7444
0.595,0.05,0.3221,0.3322,0.3535,0.3745,0.397,0.4141,0.4288,0.4661,0.5073,0.6779
0.645,0.05,0.3162,0.332,0.3532,0.3739,0.3953,0.4131,0.427,0.4646,0.508,0.6852
0.7,0.06,0.2853,0.3056,0.3249,0.3438,0.3623,0.3794,0.3916,0.4265,0.4689,0.6389
0.755,0.05,0.3044,0.3329,0.3538,0.3742,0.393,0.4124,0.4252,0.4636,0.5126,0.7053
0.81,0.06,0.2752,0.3075,0.3267,0.3454,0.3614,0.38,0.3914,0.4272,0.4752,0.6601
0.865,0.05,0.2938,0.3355,0.3564,0.3766,0.3926,0.4138,0.426,0.4654,0.5208,0.7303
0.92,0.06,0.2661,0.3108,0.33,0.3487,0.3621,0.3825,0.3936,0.4305,0.4848,0.6859
0.98,0.06,0.2615,0.3131,0.3324,0.3512,0.3632,0.3845,0.3957,0.4332,0.4914,0.7019
1.045,0.07,0.2395,0.2947,0.3129,0.3305,0.3402,0.361,0.3718,0.4075,0.4658,0.6719
1.11,0.06,0.2524,0.3194,0.3391,0.3583,0.3669,0.3904,0.4025,0.4415,0.5087,0.7407
1.175,0.07,0.2315,0.3015,0.3202,0.3383,0.3447,0.3677,0.3797,0.4169,0.4843,0.7113
1.245,0.07,0.2276,0.3058,0.3248,0.3433,0.3478,0.3721,0.3851,0.4232,0.4959,0.7347
1.32,0.08,0.2105,0.2926,0.311,0.3287,0.3311,0.3552,0.3687,0.4055,0.4798,0.7171
1.395,0.07,0.2197,0.3162,0.3362,0.3556,0.356,0.383,0.399,0.4392,0.5246,0.7902
1.47,0.08,0.2035,0.3034,0.3228,0.3417,0.3399,0.3667,0.3837,0.4225,0.5096,0.7731
1.555,0.09,0.1896,0.2941,0.3133,0.3319,0.3278,0.3548,0.3733,0.4113,0.5014,0.7661
1.645,0.09,0.1862,0.3015,0.3215,0.341,0.3343,0.363,0.3843,0.4236,0.5223,0.8034
1.735,0.09,0.183,0.3094,0.3304,0.3507,0.3412,0.3717,0.3965,0.4371,0.545,0.843
1.825,0.09,0.18,0.3178,0.3397,0.3612,0.3488,0.3811,0.4097,0.4517,0.5694,0.8849
1.925,0.11,0.1616,0.2995,0.3207,0.3415,0.3271,0.3585,0.3891,0.4289,0.5471,0.854
2.03,0.1,0.1656,0.3231,0.3467,0.3698,0.3511,0.3861,0.4236,0.4668,0.6026,0.9438
2.135,0.11,0.156,0.3203,0.3444,0.3681,0.3465,0.3823,0.4242,0.4672,0.6102,0.9578
2.25,0.12,0.1474,0.32,0.3449,0.3695,0.3446,0.3814,0.4287,0.4718,0.6238,0.9809
2.37,0.12,0.1448,0.3331,0.3599,0.3866,0.3571,0.3966,0.4522,0.4971,0.6653,1.0468
2.495,0.13,0.1372,0.3354,0.3633,0.3913,0.3581,0.3988,0.4617,0.507,0.6868,1.0804
2.63,0.14,0.1303,0.3398,0.3693,0.3989,0.3614,0.4038,0.4754,0.5212,0.7149,1.1232
2.77,0.14,0.1279,0.3566,0.3887,0.4213,0.3778,0.4235,0.5076,0.5554,0.771,1.2089
2.915,0.15,0.1218,0.3635,0.3976,0.4324,0.3839,0.4316,0.527,0.5756,0.8084,1.2637
3.07,0.16,0.1162,0.3726,0.4091,0.4465,0.3923,0.4423,0.5511,0.6005,0.8534,1.3287
3.235,0.17,0.111,0.3838,0.423,0.4636,0.4031,0.4557,0.58,0.6304,0.9063,1.4043
3.415,0.19,0.1036,0.3884,0.4299,0.4732,0.4069,0.4613,0.6009,0.6513,0.9473,1.4591
3.605,0.19,0.1016,0.4141,0.4604,0.509,0.433,0.4921,0.6567,0.7096,1.0439,1.597
3.8,0.2,0.0974,0.432,0.4824,0.5358,0.4509,0.5137,0.7025,0.7566,1.1251,1.7085
4.01,0.22,0.0916,0.4436,0.4979,0.5556,0.4626,0.5282,0.741,0.7953,1.1953,1.8001
4.235,0.23,0.088,0.4676,0.5274,0.5916,0.4872,0.5575,0.8034,0.859,1.3046,1.9469
4.475,0.25,0.0831,0.4861,0.5512,0.6215,0.5063,0.5805,0.86,0.9159,1.4052,2.0763
4.73,0.26,0.08,0.5167,0.589,0.6679,0.5381,0.6181,0.9423,0.9994,1.5485,2.2639
5.005,0.29,0.0746,0.5347,0.613,0.699,0.5571,0.641,1.0064,1.0627,1.6627,2.4034
5.3,0.3,0.072,0.5739,0.6618,0.7592,0.5985,0.6896,1.1163,1.1733,1.8532,2.6467
5.615,0.33,0.0675,0.6014,0.6977,0.8052,0.6279,0.7245,1.2097,1.2655,2.0174,2.8449
5.96,0.36,0.0636,0.6358,0.7423,0.8621,0.6649,0.7681,1.3248,1.379,2.2187,3.0866
6.33,0.38,0.0607,0.6841,0.8039,0.9398,0.7169,0.8291,1.4779,1.5305,2.4846,3.4081
6.725,0.41,0.0574,0.7309,0.8646,1.0174,0.7678,0.8888,1.638,1.6874,2.7635,3.7359
7.155,0.45,0.0538,0.7785,0.9272,1.0986,0.8202,0.95,1.8122,1.8567,3.0673,4.0838
7.625,0.49,0.0506,0.8361,1.0029,1.1967,0.8836,1.0242,2.0241,2.0621,3.4365,4.5026
8.135,0.53,0.0477,0.9041,1.0923,1.3129,0.9588,1.1119,2.2785,2.3077,3.8791,4.9991
8.69,0.58,0.0447,0.9766,1.1886,1.4393,1.0397,1.206,2.5646,2.582,4.3777,5.5455
9.295,0.63,0.042,1.0626,1.3033,1.5901,1.1361,1.3181,2.911,2.9128,4.9811,6.1989
9.955,0.69,0.0393,1.1568,1.4298,1.7582,1.2423,1.4415,3.3089,3.29,5.6748,6.934
10.685,0.77,0.0365,1.256,1.5651,1.9401,1.3554,1.5729,3.7573,3.7114,6.4578,7.7414
11.495,0.85,0.034,1.3784,1.732,2.1649,1.4953,1.7349,4.3189,4.2372,7.4387,8.7415
12.39,0.94,0.0316,1.5192,1.9255,2.4276,1.6572,1.9225,4.993,4.8642,8.617,9.9194
13.385,1.05,0.0293,1.6769,2.1443,2.7275,1.84,2.1339,5.7896,5.5995,10.0114,11.2805
14.49,1.16,0.0272,1.87,2.4132,3.0977,2.0646,2.3935,6.7924,6.5203,11.7679,12.9693
