z,dz,dm,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0
 0.0175,0.0350,1.4889,1.6227,1.6227,1.6227,1.6227,1.6622,1.7738,1.9071,1.9980,2.4118
 0.0525,0.0350,0.6300,0.6904,0.6904,0.6904,0.6904,0.7078,0.7538,0.8108,0.8507,1.0323
 0.0880,0.0360,0.5034,0.5549,0.5549,0.5549,0.5549,0.5694,0.6051,0.6513,0.6843,0.8351
 0.1240,0.0360,0.4639,0.5144,0.5144,0.5144,0.5144,0.5284,0.5603,0.6034,0.6351,0.7796
 0.1605,0.0370,0.4373,0.4881,0.4881,0.4881,0.4881,0.5018,0.5310,0.5723,0.6034,0.7451
 0.1980,0.0380,0.4172,0.4690,0.4690,0.4690,0.4690,0.4827,0.5096,0.5496,0.5807,0.7216
 0.2365,0.0390,0.4002,0.4532,0.4532,0.4532,0.4532,0.4670,0.4920,0.5309,0.5622,0.7034
 0.2760,0.0400,0.3849,0.4394,0.4394,0.4394,0.4394,0.4534,0.4765,0.5147,0.5463,0.6882
 0.3165,0.0410,0.3709,0.4270,0.4270,0.4270,0.4270,0.4412,0.4627,0.5001,0.5322,0.6754
 0.3580,0.0420,0.3578,0.4158,0.4158,0.4158,0.4158,0.4301,0.4501,0.4868,0.5196,0.6644
 0.4005,0.0430,0.3456,0.4055,0.4055,0.4055,0.4055,0.4200,0.4386,0.4748,0.5083,0.6551
 0.4440,0.0440,0.3340,0.3960,0.3960,0.3960,0.3960,0.4108,0.4281,0.4638,0.4983,0.6474
 0.4885,0.0450,0.3231,0.3873,0.3873,0.3873,0.3873,0.4024,0.4185,0.4539,0.4893,0.6411
 0.5340,0.0460,0.3128,0.3793,0.3793,0.3793,0.3793,0.3948,0.4097,0.4448,0.4814,0.6361
 0.5805,0.0470,0.3030,0.3720,0.3720,0.3720,0.3720,0.3878,0.4018,0.4366,0.4745,0.6325
 0.6285,0.0490,0.2909,0.3620,0.3620,0.3620,0.3620,0.3780,0.3910,0.4253,0.4643,0.6244
 0.6780,0.0500,0.2821,0.3560,0.3560,0.3560,0.3560,0.3725,0.3848,0.4189,0.4595,0.6236
 0.7290,0.0520,0.2714,0.3476,0.3476,0.3476,0.3476,0.3644,0.3759,0.4097,0.4518,0.6187
 0.7815,0.0530,0.2635,0.3429,0.3429,0.3429,0.3429,0.3602,0.3712,0.4049,0.4490,0.6207
 0.8355,0.0550,0.2538,0.3360,0.3360,0.3360,0.3360,0.3537,0.3642,0.3977,0.4436,0.6189
 0.8915,0.0570,0.2447,0.3298,0.3298,0.3298,0.3298,0.3479,0.3581,0.3915,0.4394,0.6188
 0.9495,0.0590,0.2360,0.3244,0.3244,0.3244,0.3244,0.3430,0.3530,0.3862,0.4365,0.6205
 1.0095,0.0610,0.2278,0.3196,0.3196,0.3196,0.3196,0.3388,0.3487,0.3820,0.4348,0.6238
 1.0715,0.0630,0.2201,0.3155,0.3155,0.3155,0.3155,0.3353,0.3454,0.3787,0.4343,0.6288
 1.1360,0.0660,0.2112,0.3100,0.3100,0.3100,0.3100,0.3303,0.3407,0.3738,0.4322,0.6314
 1.2030,0.0680,0.2043,0.3074,0.3074,0.3074,0.3074,0.3283,0.3393,0.3726,0.4344,0.6402
 1.2725,0.0710,0.1964,0.3035,0.3035,0.3035,0.3035,0.3250,0.3367,0.3701,0.4352,0.6469
 1.3450,0.0740,0.1890,0.3003,0.3003,0.3003,0.3003,0.3225,0.3352,0.3687,0.4377,0.6558
 1.4205,0.0770,0.1821,0.2980,0.2980,0.2980,0.2980,0.3210,0.3349,0.3686,0.4418,0.6671
 1.4990,0.0800,0.1755,0.2965,0.2965,0.2965,0.2965,0.3203,0.3357,0.3697,0.4475,0.6807
 1.5810,0.0840,0.1683,0.2942,0.2942,0.2942,0.2942,0.3187,0.3359,0.3701,0.4527,0.6932
 1.6665,0.0870,0.1625,0.2943,0.2943,0.2943,0.2943,0.3198,0.3392,0.3739,0.4622,0.7120
 1.7555,0.0910,0.1561,0.2937,0.2937,0.2937,0.2937,0.3201,0.3421,0.3771,0.4714,0.7300
 1.8490,0.0960,0.1495,0.2927,0.2927,0.2927,0.2927,0.3201,0.3449,0.3802,0.4807,0.7479
 1.9470,0.1000,0.1439,0.2941,0.2941,0.2941,0.2941,0.3226,0.3509,0.3868,0.4946,0.7726
 2.0495,0.1050,0.1380,0.2951,0.2951,0.2951,0.2951,0.3248,0.3570,0.3934,0.5090,0.7975
 2.1570,0.1100,0.1325,0.2972,0.2972,0.2972,0.2972,0.3281,0.3650,0.4019,0.5262,0.8263
 2.2700,0.1160,0.1269,0.2993,0.2993,0.2993,0.2993,0.3314,0.3734,0.4109,0.5444,0.8562
 2.3890,0.1220,0.1216,0.3025,0.3025,0.3025,0.3025,0.3361,0.3841,0.4222,0.5661,0.8908
 2.5140,0.1280,0.1166,0.3070,0.3070,0.3070,0.3070,0.3421,0.3970,0.4358,0.5915,0.9303
 2.6455,0.1350,0.1116,0.3117,0.3117,0.3117,0.3117,0.3485,0.4111,0.4506,0.6188,0.9721
 2.7840,0.1420,0.1070,0.3178,0.3178,0.3178,0.3178,0.3564,0.4279,0.4682,0.6506,1.0199
