z,dz,dm,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0
 0.0175,0.0350,0.7223,0.7872,0.7872,0.7872,0.7872,0.8063,0.8605,0.9252,0.9692,1.1700
 0.0525,0.0350,0.4758,0.5214,0.5214,0.5214,0.5214,0.5346,0.5693,0.6124,0.6425,0.7797
 0.0880,0.0360,0.4323,0.4764,0.4764,0.4764,0.4764,0.4889,0.5195,0.5592,0.5876,0.7170
 0.1240,0.0360,0.4094,0.4540,0.4540,0.4540,0.4540,0.4663,0.4945,0.5326,0.5605,0.6880
 0.1605,0.0370,0.3860,0.4308,0.4308,0.4308,0.4308,0.4429,0.4687,0.5051,0.5326,0.6577
 0.1980,0.0380,0.3653,0.4106,0.4106,0.4106,0.4106,0.4226,0.4462,0.4812,0.5084,0.6318
 0.2365,0.0390,0.3467,0.3926,0.3926,0.3926,0.3926,0.4046,0.4262,0.4599,0.4870,0.6093
 0.2760,0.0400,0.3297,0.3764,0.3764,0.3764,0.3764,0.3884,0.4082,0.4409,0.4679,0.5895
 0.3165,0.0410,0.3142,0.3618,0.3618,0.3618,0.3618,0.3737,0.3919,0.4236,0.4508,0.5722
 0.3580,0.0420,0.2999,0.3485,0.3485,0.3485,0.3485,0.3605,0.3772,0.4080,0.4355,0.5569
 0.4005,0.0430,0.2867,0.3364,0.3364,0.3364,0.3364,0.3484,0.3638,0.3939,0.4217,0.5435
 0.4440,0.0440,0.2744,0.3253,0.3253,0.3253,0.3253,0.3375,0.3517,0.3810,0.4093,0.5318
 0.4885,0.0450,0.2630,0.3152,0.3152,0.3152,0.3152,0.3275,0.3406,0.3694,0.3982,0.5217
 0.5340,0.0460,0.2523,0.3060,0.3060,0.3060,0.3060,0.3184,0.3305,0.3588,0.3883,0.5131
 0.5805,0.0470,0.2423,0.2976,0.2976,0.2976,0.2976,0.3102,0.3214,0.3492,0.3795,0.5059
 0.6285,0.0490,0.2308,0.2872,0.2872,0.2872,0.2872,0.3000,0.3103,0.3375,0.3684,0.4954
 0.6780,0.0500,0.2221,0.2803,0.2803,0.2803,0.2803,0.2932,0.3029,0.3297,0.3617,0.4908
 0.7290,0.0520,0.2120,0.2716,0.2716,0.2716,0.2716,0.2847,0.2937,0.3201,0.3530,0.4834
 0.7815,0.0530,0.2043,0.2659,0.2659,0.2659,0.2659,0.2793,0.2878,0.3140,0.3482,0.4813
 0.8355,0.0550,0.1954,0.2587,0.2587,0.2587,0.2587,0.2724,0.2804,0.3062,0.3416,0.4766
 0.8915,0.0570,0.1871,0.2522,0.2522,0.2522,0.2522,0.2661,0.2739,0.2994,0.3361,0.4733
 0.9495,0.0590,0.1793,0.2464,0.2464,0.2464,0.2464,0.2606,0.2682,0.2934,0.3316,0.4714
 1.0095,0.0610,0.1720,0.2412,0.2412,0.2412,0.2412,0.2557,0.2632,0.2883,0.3282,0.4708
 1.0715,0.0630,0.1651,0.2367,0.2367,0.2367,0.2367,0.2514,0.2591,0.2840,0.3257,0.4716
 1.1360,0.0660,0.1575,0.2311,0.2311,0.2311,0.2311,0.2462,0.2540,0.2787,0.3222,0.4707
 1.2030,0.0680,0.1514,0.2278,0.2278,0.2278,0.2278,0.2432,0.2514,0.2761,0.3219,0.4744
 1.2725,0.0710,0.1447,0.2236,0.2236,0.2236,0.2236,0.2394,0.2480,0.2726,0.3206,0.4766
 1.3450,0.0740,0.1385,0.2200,0.2200,0.2200,0.2200,0.2363,0.2455,0.2701,0.3206,0.4804
 1.4205,0.0770,0.1326,0.2171,0.2171,0.2171,0.2171,0.2338,0.2439,0.2685,0.3218,0.4859
 1.4990,0.0800,0.1271,0.2148,0.2148,0.2148,0.2148,0.2320,0.2432,0.2678,0.3242,0.4931
 1.5810,0.0840,0.1213,0.2120,0.2120,0.2120,0.2120,0.2297,0.2421,0.2667,0.3263,0.4995
 1.6665,0.0870,0.1164,0.2109,0.2109,0.2109,0.2109,0.2292,0.2431,0.2680,0.3313,0.5103
 1.7555,0.0910,0.1113,0.2094,0.2094,0.2094,0.2094,0.2283,0.2439,0.2689,0.3362,0.5206
 1.8490,0.0960,0.1061,0.2077,0.2077,0.2077,0.2077,0.2272,0.2448,0.2698,0.3411,0.5308
 1.9470,0.1000,0.1016,0.2076,0.2076,0.2076,0.2076,0.2278,0.2478,0.2731,0.3493,0.5455
 2.0495,0.1050,0.0970,0.2074,0.2074,0.2074,0.2074,0.2282,0.2509,0.2764,0.3577,0.5604
 2.1570,0.1100,0.0927,0.2079,0.2079,0.2079,0.2079,0.2295,0.2552,0.2811,0.3680,0.5779
 2.2700,0.1160,0.0883,0.2084,0.2084,0.2084,0.2084,0.2307,0.2600,0.2861,0.3790,0.5961
 2.3890,0.1220,0.0843,0.2097,0.2097,0.2097,0.2097,0.2329,0.2662,0.2926,0.3923,0.6173
 2.5140,0.1280,0.0805,0.2118,0.2118,0.2118,0.2118,0.2360,0.2739,0.3006,0.4080,0.6418
 2.6455,0.1350,0.0767,0.2141,0.2141,0.2141,0.2141,0.2393,0.2823,0.3095,0.4250,0.6677
 2.7840,0.1420,0.0731,0.2173,0.2173,0.2173,0.2173,0.2437,0.2926,0.3201,0.4449,0.6974
 2.9300,0.1500,0.0696,0.2209,0.2209,0.2209,0.2209,0.2484,0.3039,0.3319,0.4667,0.7292
 3.0845,0.1590,0.0662,0.2249,0.2249,0.2249,0.2249,0.2537,0.3166,0.3450,0.4907,0.7637
 3.2480,0.1680,0.0630,0.2301,0.2301,0.2301,0.2301,0.2602,0.3317,0.3605,0.5187,0.8034
 3.4210,0.1780,0.0599,0.2359,0.2359,0.2359,0.2359,0.2674,0.3486,0.3778,0.5497,0.8466
 3.6045,0.1890,0.0569,0.2424,0.2424,0.2424,0.2424,0.2755,0.3676,0.3972,0.5844,0.8940
 3.7995,0.2010,0.0540,0.2498,0.2498,0.2498,0.2498,0.2846,0.3892,0.4191,0.6233,0.9465
