z,dz,dm,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0
0.0175,0.0350,1.3363,1.4564,1.4564,1.4564,1.4564,1.4919,1.5921,1.7117,1.7933,2.1647
0.0525,0.0350,0.5970,0.6542,0.6542,0.6542,0.6542,0.6707,0.7143,0.7684,0.8061,0.9783
0.0880,0.0360,0.4906,0.5407,0.5407,0.5407,0.5407,0.5549,0.5897,0.6347,0.6669,0.8138
0.1240,0.0360,0.4558,0.5054,0.5054,0.5054,0.5054,0.5192,0.5505,0.5929,0.6241,0.7660
0.1605,0.0370,0.4303,0.4803,0.4803,0.4803,0.4803,0.4938,0.5225,0.5631,0.5938,0.7332
0.1980,0.0380,0.4103,0.4611,0.4611,0.4611,0.4611,0.4747,0.5011,0.5405,0.5710,0.7096
0.2365,0.0390,0.3930,0.4450,0.4450,0.4450,0.4450,0.4586,0.4831,0.5214,0.5521,0.6907
0.2760,0.0400,0.3774,0.4308,0.4308,0.4308,0.4308,0.4445,0.4672,0.5046,0.5356,0.6748
0.3165,0.0410,0.3631,0.4181,0.4181,0.4181,0.4181,0.4319,0.4529,0.4895,0.5210,0.6612
0.3580,0.0420,0.3498,0.4064,0.4064,0.4064,0.4064,0.4204,0.4399,0.4759,0.5079,0.6495
0.4005,0.0430,0.3373,0.3958,0.3958,0.3958,0.3958,0.4100,0.4281,0.4635,0.4962,0.6395
0.4440,0.0440,0.3256,0.3860,0.3860,0.3860,0.3860,0.4005,0.4173,0.4522,0.4857,0.6311
0.4885,0.0450,0.3146,0.3771,0.3771,0.3771,0.3771,0.3918,0.4074,0.4419,0.4764,0.6241
0.5340,0.0460,0.3041,0.3689,0.3689,0.3689,0.3689,0.3839,0.3984,0.4325,0.4681,0.6186
0.5805,0.0470,0.2943,0.3614,0.3614,0.3614,0.3614,0.3767,0.3903,0.4241,0.4609,0.6143
0.6285,0.0490,0.2823,0.3512,0.3512,0.3512,0.3512,0.3668,0.3794,0.4127,0.4505,0.6058
0.6780,0.0500,0.2735,0.3451,0.3451,0.3451,0.3451,0.3611,0.3729,0.4060,0.4454,0.6044
0.7290,0.0520,0.2628,0.3366,0.3366,0.3366,0.3366,0.3529,0.3640,0.3967,0.4374,0.5991
0.7815,0.0530,0.2548,0.3317,0.3317,0.3317,0.3317,0.3484,0.3591,0.3917,0.4343,0.6004
0.8355,0.0550,0.2453,0.3247,0.3247,0.3247,0.3247,0.3418,0.3520,0.3843,0.4287,0.5981
0.8915,0.0570,0.2362,0.3185,0.3185,0.3185,0.3185,0.3360,0.3458,0.3780,0.4243,0.5975
0.9495,0.0590,0.2277,0.3129,0.3129,0.3129,0.3129,0.3309,0.3405,0.3726,0.4211,0.5986
1.0095,0.0610,0.2196,0.3081,0.3081,0.3081,0.3081,0.3265,0.3361,0.3682,0.4191,0.6013
1.0715,0.0630,0.2119,0.3039,0.3039,0.3039,0.3039,0.3229,0.3327,0.3647,0.4182,0.6056
1.1360,0.0660,0.2033,0.2984,0.2984,0.2984,0.2984,0.3178,0.3278,0.3598,0.4159,0.6076
1.2030,0.0680,0.1964,0.2956,0.2956,0.2956,0.2956,0.3157,0.3262,0.3583,0.4177,0.6156
1.2725,0.0710,0.1888,0.2916,0.2916,0.2916,0.2916,0.3122,0.3235,0.3556,0.4182,0.6216
