z,dz,dm,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0
0.0175,0.0350,1.3060,1.4234,1.4234,1.4234,1.4234,1.4581,1.5560,1.6729,1.7526,2.1157
0.0525,0.0350,0.5909,0.6476,0.6476,0.6476,0.6476,0.6639,0.7070,0.7606,0.7979,0.9683
0.0880,0.0360,0.4882,0.5381,0.5381,0.5381,0.5381,0.5522,0.5868,0.6316,0.6637,0.8099
0.1240,0.0360,0.4541,0.5036,0.5036,0.5036,0.5036,0.5173,0.5485,0.5908,0.6218,0.7632
0.1605,0.0370,0.4287,0.4785,0.4785,0.4785,0.4785,0.4920,0.5206,0.5610,0.5916,0.7305
0.1980,0.0380,0.4086,0.4593,0.4593,0.4593,0.4593,0.4727,0.4991,0.5383,0.5687,0.7067
0.2365,0.0390,0.3912,0.4431,0.4431,0.4431,0.4431,0.4566,0.4810,0.5191,0.5496,0.6876
0.2760,0.0400,0.3756,0.4288,0.4288,0.4288,0.4288,0.4424,0.4650,0.5022,0.5330,0.6715
0.3165,0.0410,0.3612,0.4159,0.4159,0.4159,0.4159,0.4296,0.4506,0.4870,0.5183,0.6577
0.3580,0.0420,0.3478,0.4041,0.4041,0.4041,0.4041,0.4181,0.4375,0.4732,0.5051,0.6459
0.4005,0.0430,0.3353,0.3934,0.3934,0.3934,0.3934,0.4075,0.4255,0.4607,0.4932,0.6357
0.4440,0.0440,0.3236,0.3836,0.3836,0.3836,0.3836,0.3980,0.4147,0.4493,0.4827,0.6271
0.4885,0.0450,0.3125,0.3746,0.3746,0.3746,0.3746,0.3892,0.4047,0.4390,0.4733,0.6200
0.5340,0.0460,0.3021,0.3663,0.3663,0.3663,0.3663,0.3813,0.3957,0.4296,0.4649,0.6143
0.5805,0.0470,0.2922,0.3588,0.3588,0.3588,0.3588,0.3740,0.3875,0.4211,0.4576,0.6100
0.6285,0.0490,0.2802,0.3487,0.3487,0.3487,0.3487,0.3641,0.3766,0.4096,0.4472,0.6014
0.6780,0.0500,0.2714,0.3425,0.3425,0.3425,0.3425,0.3583,0.3701,0.4029,0.4420,0.5998
0.7290,0.0520,0.2607,0.3340,0.3340,0.3340,0.3340,0.3501,0.3612,0.3936,0.4340,0.5944
0.7815,0.0530,0.2528,0.3290,0.3290,0.3290,0.3290,0.3456,0.3562,0.3886,0.4309,0.5956
0.8355,0.0550,0.2432,0.3220,0.3220,0.3220,0.3220,0.3390,0.3490,0.3812,0.4252,0.5932
0.8915,0.0570,0.2342,0.3158,0.3158,0.3158,0.3158,0.3331,0.3429,0.3748,0.4207,0.5925
0.9495,0.0590,0.2257,0.3102,0.3102,0.3102,0.3102,0.3280,0.3376,0.3694,0.4174,0.5934
1.0095,0.0610,0.2176,0.3053,0.3053,0.3053,0.3053,0.3236,0.3332,0.3649,0.4153,0.5959
1.0715,0.0630,0.2100,0.3011,0.3011,0.3011,0.3011,0.3200,0.3296,0.3614,0.4145,0.6001
1.1360,0.0660,0.2014,0.2956,0.2956,0.2956,0.2956,0.3149,0.3248,0.3564,0.4120,0.6020
1.2030,0.0680,0.1946,0.2928,0.2928,0.2928,0.2928,0.3127,0.3231,0.3549,0.4138,0.6098
1.2725,0.0710,0.1869,0.2888,0.2888,0.2888,0.2888,0.3092,0.3204,0.3522,0.4142,0.6156
1.3450,0.0740,0.1797,0.2856,0.2856,0.2856,0.2856,0.3067,0.3187,0.3506,0.4161,0.6235
1.4205,0.0770,0.1729,0.2831,0.2831,0.2831,0.2831,0.3049,0.3181,0.3501,0.4196,0.6337
1.4990,0.0800,0.1665,0.2814,0.2814,0.2814,0.2814,0.3039,0.3186,0.3509,0.4247,0.6460
1.5810,0.0840,0.1596,0.2790,0.2790,0.2790,0.2790,0.3022,0.3185,0.3510,0.4293,0.6573
1.6665,0.0870,0.1539,0.2788,0.2788,0.2788,0.2788,0.3030,0.3214,0.3542,0.4379,0.6746
1.7555,0.0910,0.1478,0.2780,0.2780,0.2780,0.2780,0.3031,0.3238,0.3570,0.4463,0.6911
1.8490,0.0960,0.1414,0.2769,0.2769,0.2769,0.2769,0.3028,0.3263,0.3597,0.4547,0.7074
1.9470,0.1000,0.1360,0.2780,0.2780,0.2780,0.2780,0.3049,0.3317,0.3656,0.4675,0.7302
2.0495,0.1050,0.1304,0.2787,0.2787,0.2787,0.2787,0.3067,0.3372,0.3715,0.4807,0.7532
2.1570,0.1100,0.1251,0.2805,0.2805,0.2805,0.2805,0.3096,0.3444,0.3793,0.4966,0.7798
2.2700,0.1160,0.1197,0.2822,0.2822,0.2822,0.2822,0.3125,0.3522,0.3875,0.5134,0.8074
