z,dz,dm,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0
0.02,0.04,6.6804,5.8497,6.2833,6.7168,7.2833,7.4611,7.9611,8.5597,8.9684,10.8301
0.055,0.03,2.7412,2.4186,2.5962,2.7736,3.005,3.0811,3.2806,3.5293,3.703,4.4955
0.09,0.04,1.5123,1.3449,1.4427,1.5403,1.6674,1.7111,1.8181,1.9571,2.0565,2.5104
0.13,0.04,1.075,0.9651,1.0345,1.1037,1.1934,1.226,1.2996,1.3998,1.4737,1.8106
0.17,0.04,0.8529,0.7732,0.8282,0.883,0.9536,0.9808,1.0372,1.118,1.1794,1.4587
0.205,0.03,0.8266,0.7561,0.8094,0.8624,0.9303,0.9578,1.0108,1.0902,1.1523,1.4338
0.24,0.04,0.656,0.6057,0.6479,0.69,0.7434,0.7661,0.8069,0.8709,0.9223,1.1546
0.285,0.05,0.5308,0.4962,0.5304,0.5644,0.6071,0.6265,0.6582,0.711,0.7551,0.9528
0.33,0.04,0.5391,0.5105,0.5453,0.5798,0.6226,0.6434,0.6743,0.729,0.7766,0.9879
0.37,0.04,0.5083,0.4871,0.52,0.5525,0.5923,0.6129,0.641,0.6935,0.7408,0.9494
0.41,0.04,0.4846,0.4701,0.5015,0.5326,0.5699,0.5905,0.6163,0.6674,0.715,0.9232
0.455,0.05,0.4195,0.4127,0.44,0.4669,0.4986,0.5175,0.5389,0.5841,0.628,0.8177
0.505,0.05,0.4029,0.4029,0.4293,0.4553,0.485,0.5042,0.524,0.5685,0.6137,0.8065
0.55,0.04,0.4322,0.4388,0.4673,0.4953,0.5263,0.5481,0.5685,0.6174,0.6691,0.8868
0.595,0.05,0.3808,0.3927,0.418,0.4428,0.4694,0.4896,0.507,0.551,0.5997,0.8015
0.645,0.05,0.3712,0.3898,0.4146,0.439,0.4641,0.4849,0.5013,0.5454,0.5964,0.8045
0.7,0.06,0.333,0.3568,0.3793,0.4014,0.423,0.4429,0.4572,0.498,0.5475,0.7459
0.755,0.05,0.3545,0.3877,0.4121,0.4359,0.4577,0.4803,0.4952,0.5399,0.597,0.8214
0.81,0.06,0.3197,0.3572,0.3795,0.4013,0.4199,0.4415,0.4548,0.4964,0.5521,0.767
0.865,0.05,0.3415,0.39,0.4142,0.4378,0.4564,0.481,0.4951,0.5409,0.6054,0.8489
0.92,0.06,0.309,0.3609,0.3832,0.4049,0.4205,0.4442,0.4571,0.4999,0.563,0.7966
0.98,0.06,0.304,0.3639,0.3864,0.4082,0.4221,0.4469,0.4599,0.5035,0.5711,0.8157
1.045,0.07,0.2784,0.3426,0.3637,0.3842,0.3954,0.4197,0.4322,0.4737,0.5414,0.781
1.11,0.06,0.2943,0.3724,0.3955,0.4178,0.4278,0.4553,0.4694,0.5149,0.5933,0.8637
1.175,0.07,0.2701,0.3518,0.3736,0.3947,0.4022,0.4291,0.4431,0.4865,0.5651,0.8299
1.245,0.07,0.2662,0.3576,0.3799,0.4015,0.4068,0.4352,0.4504,0.4949,0.5801,0.8594
1.32,0.08,0.2465,0.3427,0.3642,0.385,0.3878,0.416,0.4319,0.475,0.562,0.8398
1.395,0.07,0.2584,0.3719,0.3955,0.4183,0.4187,0.4505,0.4693,0.5165,0.617,0.9294
1.47,0.08,0.2397,0.3573,0.3802,0.4024,0.4003,0.4319,0.4519,0.4976,0.6002,0.9105
1.555,0.09,0.2237,0.347,0.3696,0.3915,0.3868,0.4186,0.4404,0.4852,0.5916,0.9039
1.645,0.09,0.2204,0.3569,0.3806,0.4036,0.3956,0.4296,0.4549,0.5014,0.6183,0.951
1.735,0.09,0.2173,0.3674,0.3923,0.4165,0.4052,0.4414,0.4708,0.519,0.6472,1.0011
1.825,0.09,0.2144,0.3785,0.4047,0.4303,0.4155,0.454,0.4881,0.5381,0.6783,1.0541
1.925,0.11,0.1926,0.3571,0.3824,0.4072,0.3899,0.4274,0.464,0.5114,0.6524,1.0182
2.03,0.1,0.1984,0.387,0.4153,0.443,0.4206,0.4625,0.5074,0.5592,0.7219,1.1305
2.135,0.11,0.1873,0.3845,0.4134,0.4419,0.4159,0.4588,0.5091,0.5607,0.7324,1.1497
2.25,0.12,0.1773,0.385,0.4149,0.4445,0.4146,0.4588,0.5158,0.5676,0.7505,1.1801
2.37,0.12,0.1748,0.4022,0.4345,0.4667,0.4312,0.4787,0.5459,0.6001,0.8032,1.2638
2.495,0.13,0.166,0.4058,0.4396,0.4735,0.4333,0.4826,0.5587,0.6135,0.8311,1.3073
2.63,0.14,0.1581,0.4122,0.4479,0.4839,0.4384,0.4899,0.5767,0.6323,0.8672,1.3625
2.77,0.14,0.1557,0.4341,0.4732,0.5128,0.4599,0.5155,0.6179,0.6762,0.9386,1.4716
2.915,0.15,0.1487,0.4436,0.4852,0.5277,0.4685,0.5267,0.6431,0.7024,0.9866,1.5422
3.07,0.16,0.1422,0.4559,0.5005,0.5463,0.48,0.5411,0.6742,0.7347,1.044,1.6256
3.235,0.17,0.1362,0.4708,0.5189,0.5686,0.4944,0.559,0.7114,0.7733,1.1117,1.7225
3.415,0.19,0.1274,0.4774,0.5284,0.5816,0.5002,0.567,0.7386,0.8005,1.1643,1.7934
3.605,0.19,0.1253,0.5108,0.5679,0.6279,0.5341,0.607,0.8101,0.8753,1.2877,1.9699
3.8,0.2,0.1205,0.5343,0.5967,0.6627,0.5577,0.6354,0.8688,0.9358,1.3915,2.1131
4.01,0.22,0.1135,0.5498,0.617,0.6886,0.5733,0.6546,0.9184,0.9857,1.4814,2.231
4.235,0.23,0.1094,0.5813,0.6556,0.7354,0.6056,0.693,0.9986,1.0678,1.6216,2.4199
4.475,0.25,0.1035,0.6056,0.6866,0.7743,0.6307,0.7231,1.0714,1.141,1.7506,2.5866
4.73,0.26,0.1,0.6456,0.736,0.8345,0.6724,0.7723,1.1774,1.2487,1.9347,2.8286
5.005,0.29,0.0934,0.6693,0.7673,0.875,0.6974,0.8024,1.2598,1.3303,2.0813,3.0085
5.3,0.3,0.0904,0.7206,0.831,0.9533,0.7515,0.8659,1.4016,1.4732,2.327,3.3232
5.615,0.33,0.085,0.7567,0.8779,1.0132,0.7901,0.9116,1.5221,1.5923,2.5384,3.5795
5.96,0.36,0.0802,0.8018,0.9361,1.0872,0.8385,0.9687,1.6707,1.7391,2.798,3.8925
6.33,0.38,0.0767,0.8651,1.0166,1.1885,0.9066,1.0485,1.8689,1.9354,3.1421,4.3099
6.725,0.41,0.0727,0.9265,1.096,1.2898,0.9734,1.1266,2.0764,2.1391,3.5032,4.7358
7.155,0.45,0.0683,0.989,1.178,1.3957,1.0419,1.2069,2.3022,2.3587,3.8967,5.188
7.625,0.49,0.0644,1.0647,1.277,1.5238,1.1252,1.3041,2.5774,2.6258,4.3758,5.7334
8.135,0.53,0.0609,1.1541,1.3943,1.6758,1.2239,1.4193,2.9084,2.9457,4.9515,6.3811
8.69,0.58,0.0572,1.2494,1.5207,1.8413,1.3301,1.5429,3.2811,3.3033,5.6006,7.0947
9.295,0.63,0.0539,1.3627,1.6714,2.0392,1.4569,1.6904,3.7332,3.7354,6.3879,7.9496
9.955,0.69,0.0506,1.4868,1.8378,2.2599,1.5968,1.8529,4.2531,4.2288,7.2941,8.9126
10.685,0.77,0.047,1.6177,2.0157,2.4987,1.7457,2.0257,4.8391,4.78,8.3172,9.9705
11.495,0.85,0.0439,1.7793,2.2357,2.7946,1.9301,2.2395,5.5751,5.4696,9.6022,11.2839
12.39,0.94,0.0409,1.9655,2.4911,3.1407,2.144,2.4872,6.4597,6.2931,11.1483,12.8333
13.385,1.05,0.0379,2.1742,2.7801,3.5363,2.3856,2.7666,7.5063,7.2598,12.9799,14.6253
14.49,1.16,0.0353,2.4303,3.1362,4.0257,2.6831,3.1105,8.8272,8.4737,15.2933,16.8546
15.73,1.32,0.0324,2.6988,3.516,4.5561,2.9991,3.4753,10.3326,9.8418,17.9353,19.3157
17.13,1.48,0.0299,3.0403,4.0001,5.2348,3.402,3.94,12.2954,11.6168,21.3829,22.4804
18.705,1.67,0.0275,3.4381,4.5698,6.0415,3.875,4.485,14.7143,13.786,25.6383,26.2891
20.5,1.92,0.0251,3.8886,5.2239,6.9801,4.4163,5.1081,17.6565,16.3981,30.8243,30.7907
